id,difficulty,question,option_a,option_b,option_c,option_d,answer,concept
229,easy,Which term is zero in steady-state mass balance? (Variant 77),Input,Output,Accumulation,Generation,2,mass_balance
230,medium,Why is a purge stream required in recycle systems? (Variant 77),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
231,hard,Which balance must always be satisfied? (Variant 77),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
232,easy,Which term is zero in steady-state mass balance? (Variant 78),Input,Output,Accumulation,Generation,2,mass_balance
233,medium,Why is a purge stream required in recycle systems? (Variant 78),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
234,hard,Which balance must always be satisfied? (Variant 78),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
235,easy,Which term is zero in steady-state mass balance? (Variant 79),Input,Output,Accumulation,Generation,2,mass_balance
236,medium,Why is a purge stream required in recycle systems? (Variant 79),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
237,hard,Which balance must always be satisfied? (Variant 79),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
238,easy,Which term is zero in steady-state mass balance? (Variant 80),Input,Output,Accumulation,Generation,2,mass_balance
239,medium,Why is a purge stream required in recycle systems? (Variant 80),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
240,hard,Which balance must always be satisfied? (Variant 80),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
241,easy,Which term is zero in steady-state mass balance? (Variant 81),Input,Output,Accumulation,Generation,2,mass_balance
242,medium,Why is a purge stream required in recycle systems? (Variant 81),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
243,hard,Which balance must always be satisfied? (Variant 81),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
244,easy,Which term is zero in steady-state mass balance? (Variant 82),Input,Output,Accumulation,Generation,2,mass_balance
245,medium,Why is a purge stream required in recycle systems? (Variant 82),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
246,hard,Which balance must always be satisfied? (Variant 82),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
247,easy,Which term is zero in steady-state mass balance? (Variant 83),Input,Output,Accumulation,Generation,2,mass_balance
248,medium,Why is a purge stream required in recycle systems? (Variant 83),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
249,hard,Which balance must always be satisfied? (Variant 83),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
250,easy,Which term is zero in steady-state mass balance? (Variant 84),Input,Output,Accumulation,Generation,2,mass_balance
251,medium,Why is a purge stream required in recycle systems? (Variant 84),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
252,hard,Which balance must always be satisfied? (Variant 84),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
253,easy,Which term is zero in steady-state mass balance? (Variant 85),Input,Output,Accumulation,Generation,2,mass_balance
254,medium,Why is a purge stream required in recycle systems? (Variant 85),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
255,hard,Which balance must always be satisfied? (Variant 85),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
256,easy,Which term is zero in steady-state mass balance? (Variant 86),Input,Output,Accumulation,Generation,2,mass_balance
257,medium,Why is a purge stream required in recycle systems? (Variant 86),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
258,hard,Which balance must always be satisfied? (Variant 86),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
259,easy,Which term is zero in steady-state mass balance? (Variant 87),Input,Output,Accumulation,Generation,2,mass_balance
260,medium,Why is a purge stream required in recycle systems? (Variant 87),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
261,hard,Which balance must always be satisfied? (Variant 87),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
262,easy,Which term is zero in steady-state mass balance? (Variant 88),Input,Output,Accumulation,Generation,2,mass_balance
263,medium,Why is a purge stream required in recycle systems? (Variant 88),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
264,hard,Which balance must always be satisfied? (Variant 88),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
265,easy,Which term is zero in steady-state mass balance? (Variant 89),Input,Output,Accumulation,Generation,2,mass_balance
266,medium,Why is a purge stream required in recycle systems? (Variant 89),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
267,hard,Which balance must always be satisfied? (Variant 89),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
268,easy,Which term is zero in steady-state mass balance? (Variant 90),Input,Output,Accumulation,Generation,2,mass_balance
269,medium,Why is a purge stream required in recycle systems? (Variant 90),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
270,hard,Which balance must always be satisfied? (Variant 90),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
271,easy,Which term is zero in steady-state mass balance? (Variant 91),Input,Output,Accumulation,Generation,2,mass_balance
272,medium,Why is a purge stream required in recycle systems? (Variant 91),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
273,hard,Which balance must always be satisfied? (Variant 91),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
274,easy,Which term is zero in steady-state mass balance? (Variant 92),Input,Output,Accumulation,Generation,2,mass_balance
275,medium,Why is a purge stream required in recycle systems? (Variant 92),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
276,hard,Which balance must always be satisfied? (Variant 92),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
277,easy,Which term is zero in steady-state mass balance? (Variant 93),Input,Output,Accumulation,Generation,2,mass_balance
278,medium,Why is a purge stream required in recycle systems? (Variant 93),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
279,hard,Which balance must always be satisfied? (Variant 93),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
280,easy,Which term is zero in steady-state mass balance? (Variant 94),Input,Output,Accumulation,Generation,2,mass_balance
281,medium,Why is a purge stream required in recycle systems? (Variant 94),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
282,hard,Which balance must always be satisfied? (Variant 94),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
283,easy,Which term is zero in steady-state mass balance? (Variant 95),Input,Output,Accumulation,Generation,2,mass_balance
284,medium,Why is a purge stream required in recycle systems? (Variant 95),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
285,hard,Which balance must always be satisfied? (Variant 95),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
286,easy,Which term is zero in steady-state mass balance? (Variant 96),Input,Output,Accumulation,Generation,2,mass_balance
287,medium,Why is a purge stream required in recycle systems? (Variant 96),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
288,hard,Which balance must always be satisfied? (Variant 96),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
289,easy,Which term is zero in steady-state mass balance? (Variant 97),Input,Output,Accumulation,Generation,2,mass_balance
290,medium,Why is a purge stream required in recycle systems? (Variant 97),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
291,hard,Which balance must always be satisfied? (Variant 97),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
292,easy,Which term is zero in steady-state mass balance? (Variant 98),Input,Output,Accumulation,Generation,2,mass_balance
293,medium,Why is a purge stream required in recycle systems? (Variant 98),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
294,hard,Which balance must always be satisfied? (Variant 98),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
295,easy,Which term is zero in steady-state mass balance? (Variant 99),Input,Output,Accumulation,Generation,2,mass_balance
296,medium,Why is a purge stream required in recycle systems? (Variant 99),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
297,hard,Which balance must always be satisfied? (Variant 99),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
298,easy,Which term is zero in steady-state mass balance? (Variant 100),Input,Output,Accumulation,Generation,2,mass_balance
299,medium,Why is a purge stream required in recycle systems? (Variant 100),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
300,hard,Which balance must always be satisfied? (Variant 100),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
301,easy,Which term is zero in steady-state mass balance? (Variant 101),Input,Output,Accumulation,Generation,2,mass_balance
302,medium,Why is a purge stream required in recycle systems? (Variant 101),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
303,hard,Which balance must always be satisfied? (Variant 101),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
304,easy,Which term is zero in steady-state mass balance? (Variant 102),Input,Output,Accumulation,Generation,2,mass_balance
305,medium,Why is a purge stream required in recycle systems? (Variant 102),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
306,hard,Which balance must always be satisfied? (Variant 102),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
307,easy,Which term is zero in steady-state mass balance? (Variant 103),Input,Output,Accumulation,Generation,2,mass_balance
308,medium,Why is a purge stream required in recycle systems? (Variant 103),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
309,hard,Which balance must always be satisfied? (Variant 103),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
310,easy,Which term is zero in steady-state mass balance? (Variant 104),Input,Output,Accumulation,Generation,2,mass_balance
311,medium,Why is a purge stream required in recycle systems? (Variant 104),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
312,hard,Which balance must always be satisfied? (Variant 104),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
313,easy,Which term is zero in steady-state mass balance? (Variant 105),Input,Output,Accumulation,Generation,2,mass_balance
314,medium,Why is a purge stream required in recycle systems? (Variant 105),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
315,hard,Which balance must always be satisfied? (Variant 105),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
316,easy,Which term is zero in steady-state mass balance? (Variant 106),Input,Output,Accumulation,Generation,2,mass_balance
317,medium,Why is a purge stream required in recycle systems? (Variant 106),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
318,hard,Which balance must always be satisfied? (Variant 106),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
319,easy,Which term is zero in steady-state mass balance? (Variant 107),Input,Output,Accumulation,Generation,2,mass_balance
320,medium,Why is a purge stream required in recycle systems? (Variant 107),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
321,hard,Which balance must always be satisfied? (Variant 107),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
322,easy,Which term is zero in steady-state mass balance? (Variant 108),Input,Output,Accumulation,Generation,2,mass_balance
323,medium,Why is a purge stream required in recycle systems? (Variant 108),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
324,hard,Which balance must always be satisfied? (Variant 108),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
325,easy,Which term is zero in steady-state mass balance? (Variant 109),Input,Output,Accumulation,Generation,2,mass_balance
326,medium,Why is a purge stream required in recycle systems? (Variant 109),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
327,hard,Which balance must always be satisfied? (Variant 109),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
328,easy,Which term is zero in steady-state mass balance? (Variant 110),Input,Output,Accumulation,Generation,2,mass_balance
329,medium,Why is a purge stream required in recycle systems? (Variant 110),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
330,hard,Which balance must always be satisfied? (Variant 110),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
331,easy,Which term is zero in steady-state mass balance? (Variant 111),Input,Output,Accumulation,Generation,2,mass_balance
332,medium,Why is a purge stream required in recycle systems? (Variant 111),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
333,hard,Which balance must always be satisfied? (Variant 111),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
334,easy,Which term is zero in steady-state mass balance? (Variant 112),Input,Output,Accumulation,Generation,2,mass_balance
335,medium,Why is a purge stream required in recycle systems? (Variant 112),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
336,hard,Which balance must always be satisfied? (Variant 112),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
337,easy,Which term is zero in steady-state mass balance? (Variant 113),Input,Output,Accumulation,Generation,2,mass_balance
338,medium,Why is a purge stream required in recycle systems? (Variant 113),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
339,hard,Which balance must always be satisfied? (Variant 113),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
340,easy,Which term is zero in steady-state mass balance? (Variant 114),Input,Output,Accumulation,Generation,2,mass_balance
341,medium,Why is a purge stream required in recycle systems? (Variant 114),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
342,hard,Which balance must always be satisfied? (Variant 114),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
343,easy,Which term is zero in steady-state mass balance? (Variant 115),Input,Output,Accumulation,Generation,2,mass_balance
344,medium,Why is a purge stream required in recycle systems? (Variant 115),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
345,hard,Which balance must always be satisfied? (Variant 115),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
346,easy,Which term is zero in steady-state mass balance? (Variant 116),Input,Output,Accumulation,Generation,2,mass_balance
347,medium,Why is a purge stream required in recycle systems? (Variant 116),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
348,hard,Which balance must always be satisfied? (Variant 116),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
349,easy,Which term is zero in steady-state mass balance? (Variant 117),Input,Output,Accumulation,Generation,2,mass_balance
350,medium,Why is a purge stream required in recycle systems? (Variant 117),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
351,hard,Which balance must always be satisfied? (Variant 117),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
352,easy,Which term is zero in steady-state mass balance? (Variant 118),Input,Output,Accumulation,Generation,2,mass_balance
353,medium,Why is a purge stream required in recycle systems? (Variant 118),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
354,hard,Which balance must always be satisfied? (Variant 118),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
355,easy,Which term is zero in steady-state mass balance? (Variant 119),Input,Output,Accumulation,Generation,2,mass_balance
356,medium,Why is a purge stream required in recycle systems? (Variant 119),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
357,hard,Which balance must always be satisfied? (Variant 119),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
358,easy,Which term is zero in steady-state mass balance? (Variant 120),Input,Output,Accumulation,Generation,2,mass_balance
359,medium,Why is a purge stream required in recycle systems? (Variant 120),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
360,hard,Which balance must always be satisfied? (Variant 120),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
361,easy,Which term is zero in steady-state mass balance? (Variant 121),Input,Output,Accumulation,Generation,2,mass_balance
362,medium,Why is a purge stream required in recycle systems? (Variant 121),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
363,hard,Which balance must always be satisfied? (Variant 121),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
364,easy,Which term is zero in steady-state mass balance? (Variant 122),Input,Output,Accumulation,Generation,2,mass_balance
365,medium,Why is a purge stream required in recycle systems? (Variant 122),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
366,hard,Which balance must always be satisfied? (Variant 122),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
367,easy,Which term is zero in steady-state mass balance? (Variant 123),Input,Output,Accumulation,Generation,2,mass_balance
368,medium,Why is a purge stream required in recycle systems? (Variant 123),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
369,hard,Which balance must always be satisfied? (Variant 123),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
370,easy,Which term is zero in steady-state mass balance? (Variant 124),Input,Output,Accumulation,Generation,2,mass_balance
371,medium,Why is a purge stream required in recycle systems? (Variant 124),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
372,hard,Which balance must always be satisfied? (Variant 124),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
373,easy,Which term is zero in steady-state mass balance? (Variant 125),Input,Output,Accumulation,Generation,2,mass_balance
374,medium,Why is a purge stream required in recycle systems? (Variant 125),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
375,hard,Which balance must always be satisfied? (Variant 125),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
376,easy,Which term is zero in steady-state mass balance? (Variant 126),Input,Output,Accumulation,Generation,2,mass_balance
377,medium,Why is a purge stream required in recycle systems? (Variant 126),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
378,hard,Which balance must always be satisfied? (Variant 126),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
379,easy,Which term is zero in steady-state mass balance? (Variant 127),Input,Output,Accumulation,Generation,2,mass_balance
380,medium,Why is a purge stream required in recycle systems? (Variant 127),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
381,hard,Which balance must always be satisfied? (Variant 127),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
382,easy,Which term is zero in steady-state mass balance? (Variant 128),Input,Output,Accumulation,Generation,2,mass_balance
383,medium,Why is a purge stream required in recycle systems? (Variant 128),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
384,hard,Which balance must always be satisfied? (Variant 128),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
385,easy,Which term is zero in steady-state mass balance? (Variant 129),Input,Output,Accumulation,Generation,2,mass_balance
386,medium,Why is a purge stream required in recycle systems? (Variant 129),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
387,hard,Which balance must always be satisfied? (Variant 129),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
388,easy,Which term is zero in steady-state mass balance? (Variant 130),Input,Output,Accumulation,Generation,2,mass_balance
389,medium,Why is a purge stream required in recycle systems? (Variant 130),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
390,hard,Which balance must always be satisfied? (Variant 130),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
391,easy,Which term is zero in steady-state mass balance? (Variant 131),Input,Output,Accumulation,Generation,2,mass_balance
392,medium,Why is a purge stream required in recycle systems? (Variant 131),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
393,hard,Which balance must always be satisfied? (Variant 131),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
394,easy,Which term is zero in steady-state mass balance? (Variant 132),Input,Output,Accumulation,Generation,2,mass_balance
395,medium,Why is a purge stream required in recycle systems? (Variant 132),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
396,hard,Which balance must always be satisfied? (Variant 132),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
397,easy,Which term is zero in steady-state mass balance? (Variant 133),Input,Output,Accumulation,Generation,2,mass_balance
398,medium,Why is a purge stream required in recycle systems? (Variant 133),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
399,hard,Which balance must always be satisfied? (Variant 133),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
400,easy,Which term is zero in steady-state mass balance? (Variant 134),Input,Output,Accumulation,Generation,2,mass_balance
401,medium,Why is a purge stream required in recycle systems? (Variant 134),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
402,hard,Which balance must always be satisfied? (Variant 134),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
403,easy,Which term is zero in steady-state mass balance? (Variant 135),Input,Output,Accumulation,Generation,2,mass_balance
404,medium,Why is a purge stream required in recycle systems? (Variant 135),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
405,hard,Which balance must always be satisfied? (Variant 135),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
406,easy,Which term is zero in steady-state mass balance? (Variant 136),Input,Output,Accumulation,Generation,2,mass_balance
407,medium,Why is a purge stream required in recycle systems? (Variant 136),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
408,hard,Which balance must always be satisfied? (Variant 136),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
409,easy,Which term is zero in steady-state mass balance? (Variant 137),Input,Output,Accumulation,Generation,2,mass_balance
410,medium,Why is a purge stream required in recycle systems? (Variant 137),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
411,hard,Which balance must always be satisfied? (Variant 137),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
412,easy,Which term is zero in steady-state mass balance? (Variant 138),Input,Output,Accumulation,Generation,2,mass_balance
413,medium,Why is a purge stream required in recycle systems? (Variant 138),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
414,hard,Which balance must always be satisfied? (Variant 138),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
415,easy,Which term is zero in steady-state mass balance? (Variant 139),Input,Output,Accumulation,Generation,2,mass_balance
416,medium,Why is a purge stream required in recycle systems? (Variant 139),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
417,hard,Which balance must always be satisfied? (Variant 139),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
418,easy,Which term is zero in steady-state mass balance? (Variant 140),Input,Output,Accumulation,Generation,2,mass_balance
419,medium,Why is a purge stream required in recycle systems? (Variant 140),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
420,hard,Which balance must always be satisfied? (Variant 140),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
421,easy,Which term is zero in steady-state mass balance? (Variant 141),Input,Output,Accumulation,Generation,2,mass_balance
422,medium,Why is a purge stream required in recycle systems? (Variant 141),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
423,hard,Which balance must always be satisfied? (Variant 141),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
424,easy,Which term is zero in steady-state mass balance? (Variant 142),Input,Output,Accumulation,Generation,2,mass_balance
425,medium,Why is a purge stream required in recycle systems? (Variant 142),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
426,hard,Which balance must always be satisfied? (Variant 142),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
427,easy,Which term is zero in steady-state mass balance? (Variant 143),Input,Output,Accumulation,Generation,2,mass_balance
428,medium,Why is a purge stream required in recycle systems? (Variant 143),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
429,hard,Which balance must always be satisfied? (Variant 143),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
430,easy,Which term is zero in steady-state mass balance? (Variant 144),Input,Output,Accumulation,Generation,2,mass_balance
431,medium,Why is a purge stream required in recycle systems? (Variant 144),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
432,hard,Which balance must always be satisfied? (Variant 144),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
433,easy,Which term is zero in steady-state mass balance? (Variant 145),Input,Output,Accumulation,Generation,2,mass_balance
434,medium,Why is a purge stream required in recycle systems? (Variant 145),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
435,hard,Which balance must always be satisfied? (Variant 145),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
436,easy,Which term is zero in steady-state mass balance? (Variant 146),Input,Output,Accumulation,Generation,2,mass_balance
437,medium,Why is a purge stream required in recycle systems? (Variant 146),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
438,hard,Which balance must always be satisfied? (Variant 146),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
439,easy,Which term is zero in steady-state mass balance? (Variant 147),Input,Output,Accumulation,Generation,2,mass_balance
440,medium,Why is a purge stream required in recycle systems? (Variant 147),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
441,hard,Which balance must always be satisfied? (Variant 147),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
442,easy,Which term is zero in steady-state mass balance? (Variant 148),Input,Output,Accumulation,Generation,2,mass_balance
443,medium,Why is a purge stream required in recycle systems? (Variant 148),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
444,hard,Which balance must always be satisfied? (Variant 148),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
445,easy,Which term is zero in steady-state mass balance? (Variant 149),Input,Output,Accumulation,Generation,2,mass_balance
446,medium,Why is a purge stream required in recycle systems? (Variant 149),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
447,hard,Which balance must always be satisfied? (Variant 149),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
448,easy,Which term is zero in steady-state mass balance? (Variant 150),Input,Output,Accumulation,Generation,2,mass_balance
449,medium,Why is a purge stream required in recycle systems? (Variant 150),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
450,hard,Which balance must always be satisfied? (Variant 150),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
451,easy,Which term is zero in steady-state mass balance? (Variant 151),Input,Output,Accumulation,Generation,2,mass_balance
452,medium,Why is a purge stream required in recycle systems? (Variant 151),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
453,hard,Which balance must always be satisfied? (Variant 151),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
454,easy,Which term is zero in steady-state mass balance? (Variant 152),Input,Output,Accumulation,Generation,2,mass_balance
455,medium,Why is a purge stream required in recycle systems? (Variant 152),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
456,hard,Which balance must always be satisfied? (Variant 152),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
457,easy,Which term is zero in steady-state mass balance? (Variant 153),Input,Output,Accumulation,Generation,2,mass_balance
